Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS
4303706939,PRIJ,190700,SIOUX CITY,IA,2024-11-11 00:00:00,03:30:00,2024-11-09 00:00:00,01:23:00,,Y,N,N,
5000262929,PTGB,1173,Olathe,KS,2024-11-09 00:00:00,03:07:32,2024-11-09 00:00:00,03:07:32,,Y,N,Y,
4303714805,PTGB,1169,Omaha,NE,2024-11-12 00:00:00,10:30:00,2024-11-09 00:00:00,08:04:00,,Y,N,N,
4303717948,RDXO,531909,Sioux City,IA,2024-11-12 00:00:00,01:30:00,2024-11-08 00:00:00,23:23:00,,Y,N,N,
4303684767,HIRP,29,DES MOINES,IA,2024-11-20 00:00:00,12:30:00,2024-11-18 00:00:00,16:10:00,,Y,N,,
4303684775,SHKE,8737,DES MOINES,IA,2024-11-21 00:00:00,10:30:00,2024-11-19 00:00:00,15:41:00,,Y,N,,
4303691078,PRIJ,,OKLAHOMA CITY,OK,2024-11-20 00:00:00,17:30:00,,00:00:00,,Y,N,,STORAGE
4303711785,HIRS,,Sioux City,IA,2024-11-20 00:00:00,17:30:00,,00:00:00,,Y,N,,STORAGE
4303720620,HIRP,,Cudahy,WI,2024-11-20 00:00:00,09:00:00,,00:00:00,,Y,N,,STORAGE
4303721971,AKHT,5321007,Cudahy,WI,2024-11-20 00:00:00,10:00:00,2024-11-19 00:00:00,19:40:00,,Y,N,,
4303722079,HIRP,20208,Cudahy,WI,2024-11-20 00:00:00,11:00:00,2024-11-19 00:00:00,23:30:00,,Y,N,,
4303724384,CPU,,SYRACUSE,NY,2024-11-20 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303724385,CPU,,SYRACUSE,NY,2024-11-20 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303724997,HIRP,186,Stevens Point,WI,2024-11-20 00:00:00,11:00:00,2024-11-20 00:00:00,00:02:00,,Y,N,,
4303725190,HIRP,20622,Stevens Point,WI,2024-11-20 00:00:00,10:00:00,2024-11-19 00:00:00,23:16:00,,Y,N,,
4303725624,RDXO,531742,ORANGE CITY,IA,2024-11-20 00:00:00,19:00:00,2024-11-19 00:00:00,11:54:00,,Y,N,,
4303725728,RDXO,531282,SALEM,OH,2024-11-20 00:00:00,01:00:00,2024-11-19 00:00:00,20:54:00,,Y,N,,
4303725780,RDXO,531584,SALEM,OH,2024-11-19 00:00:00,17:30:00,2024-11-19 00:00:00,16:18:00,,Y,N,,
4303726711,HIRS,50093,Cudahy,WI,2024-11-19 00:00:00,20:00:00,2024-11-19 00:00:00,15:54:00,,Y,N,,
4303728161,CPU,,GUADALAJARA,JAL,2024-11-19 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303729249,HIRP,50098,SHEBOYGAN FALLS,WI,2024-11-19 00:00:00,05:30:00,2024-11-19 00:00:00,17:40:00,999,N,N,,
4303730345,CPU,,MIAMI,FL,2024-11-19 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303731184,PRIJ,243022,DENVER,CO,2024-11-19 00:00:00,19:30:00,2024-11-19 00:00:00,17:33:00,,Y,N,,
4303731794,HIRS,30661,Omaha,NE,2024-11-20 00:00:00,06:30:00,2024-11-19 00:00:00,23:08:00,,Y,N,,
4303733827,CPU,,FLOWER MOUND,TX,2024-11-19 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
4303736140,CPU,,PLANO,TX,2024-11-20 00:00:00,11:11:00,,00:00:00,,Y,N,,STORAGE
5000263589,SHKE,DM#2/80430,Des Moines,IA,2024-11-18 00:00:00,16:00:53,2024-11-18 00:00:00,16:00:53,,Y,N,,
5000263626,PTGB,CR1/1160,Des Moines,IA,2024-11-18 00:00:00,19:49:10,2024-11-18 00:00:00,19:49:10,,Y,N,,
5000263653,SHKE,C#1/80172,Chillicothe,MO,2024-11-19 00:00:00,09:14:00,2024-11-19 00:00:00,09:14:00,,Y,N,,
5000263657,SHKE,C#2/8001,Chillicothe,MO,2024-11-19 00:00:00,12:01:00,2024-11-19 00:00:00,12:01:00,,Y,N,,
5000263679,SHKE,DM#1/80195,Des Moines,IA,2024-11-19 00:00:00,12:53:00,2024-11-19 00:00:00,12:53:00,,Y,N,,
5000263692,SHKE,DM#2/80135,Des Moines,IA,2024-11-19 00:00:00,13:49:00,2024-11-19 00:00:00,13:49:00,,Y,N,,
5000263697,SHKE,C#4/80254,Chillicothe,MO,2024-11-19 00:00:00,16:02:37,2024-11-19 00:00:00,16:02:37,,Y,N,,
5000263703,SHKE,C#3/80033,Chillicothe,MO,2024-11-19 00:00:00,14:45:00,2024-11-19 00:00:00,14:45:00,,Y,N,,
5000263731,PTGB,CR2/1183,Des Moines,IA,2024-11-19 00:00:00,18:52:29,2024-11-19 00:00:00,18:52:29,,Y,N,,
4303726817,TSL,CGMU 5269947,EDGERTON,KS,,,2024-11-15 00:00:00,11:22:00,,,,,
4303726818,TSL,CGMU 5403531,EDGERTON,KS,,,2024-11-19 00:00:00,16:32:00,,,,,
4303704779,RDXO,531411,DES MOINES,IA,2024-11-06 00:00:00,14:00:00,2024-11-05 00:00:00,16:07:00,,,,,
5000262748,HEYL,21097,Des Moines,IA,2024-11-07 00:00:00,10:05:00,2024-11-07 00:00:00,10:05:00,,,,,
4303712571,CPU,SO# 3725537,ATLANTA,GA,2024-11-07 00:00:00,11:11:00,,,,,,,"No driver - Export, Dominican Republic"
4303717166,CPU,13,MONTREAL,QC,2024-11-07 00:00:00,11:11:00,2024-11-08 00:00:00,07:47:00,502,,,,
4303717223,CPU,SO# 3730661,TIJUANA,BC,2024-11-07 00:00:00,11:11:00,,,,,,,No driver - MX CSR
4303717973,CPU,SO# 3731604,DETROIT,MI,2024-11-07 00:00:00,11:11:00,,,,,,,No driver - Wolverine Packing
5000262777,BITD,15C09,Des Moines,IA,2024-11-07 00:00:00,12:20:00,2024-11-07 00:00:00,12:20:00,,,,,
4303713906,HLBO,579538,Olathe,KS,2024-11-07 00:00:00,17:00:00,2024-11-06 00:00:00,21:08:00,,,,,
4303684654,RDXO,531265,DES MOINES,IA,2024-11-08 00:00:00,02:00:00,2024-11-07 00:00:00,12:57:00,,,,,
