FACILITY,DATE,Load Number,CARRIER,CONTAINER ID,DESTINATION CITY,DESTINATION STATE,DD DATE,DD TIME,BILL DATE,BILL TIME,ZDLT LATE CODE,ON TIME? (Y/N),SPLIT? (Y/N),FRESH PRIORITY STO? (Y/N),NOTES/COMMENTS,DETAILED NOTES/COMMENTS,Reminder,Escalated?
Sioux  Falls,1-Nov,4303696055,PRIJ,PHN,ORANGE CITY,IA,11/1/2024,2:30,,0:00,,,,,,,,
Sioux  Falls,1-Nov,4303698279,JOFD,7897,COUNCIL BLUFFS,IA,11/1/2024,2:30,11/1/2024,0:01,,,,,,,,
Sioux  Falls,1-Nov,4303698285,LSNC,986,Orange City,IA,11/1/2024,3:30,11/1/2024,3:16,,,,,,,,
Sioux  Falls,1-Nov,4303691791,JOFD,7629,Omaha,NE,11/1/2024,4:00,11/1/2024,2:02,,,,,,,,
Sioux  Falls,1-Nov,4303697389,PTGB,1150,Omaha,NE,11/1/2024,6:00,11/1/2024,1:39,,,,,,,,
Sioux  Falls,1-Nov,4303708077,STVV,17375,HOUSTON,TX,11/1/2024,8:00,10/31/2024,18:30,,,,,,,,
Sioux  Falls,1-Nov,4303706179,NTWD,5561,Greenfield,IN,11/1/2024,8:30,10/31/2024,2:06,,,,,,,,
Sioux  Falls,1-Nov,4303697642,JOFD,8304,Olathe,KS,11/1/2024,15:00,10/31/2024,4:39,,,,,,,,
Sioux  Falls,1-Nov,4303705375,BTIK,1801,Olathe,KS,11/1/2024,16:00,10/31/2024,12:18,,,,,,,,
Sioux  Falls,1-Nov,4303697246,HIRP,30649,Tar Heel,NC,11/1/2024,16:30,10/30/2024,12:23,,,,,,,,
Sioux  Falls,1-Nov,4303705410,HIRS,T91338,North East,MD,11/1/2024,17:30,10/30/2024,5:09,,,,,,,,
